Chapter,Difficulty,Question,Option_A,Option_B,Option_C,Option_D,Answer
Introduction to Trigonometry,Easy,"If sin(θ) = cos(θ), what is the value of θ in the first quadrant?",(A) 0°,(B) 45°,(C) 90°,(D) 180°,(B) 45°
Introduction to Trigonometry,Easy,What is the value of tan(30°)?,(A) 1/√3,(B) √3/3,(C) √3,(D) Both A and B,(D) Both A and B
Introduction to Trigonometry,Easy,"If cot(45°) = x, what is x?",(A) 0,(B) 1,(C) √2,(D) √3,(B) 1
Introduction to Trigonometry,Easy,"If sin²(θ) = 0.25, what is the value of cos²(θ)?",(A) 0.75,(B) 0.5,(C) 0.25,(D) 1,(A) 0.75
Introduction to Trigonometry,Easy,What is the complementary angle of 30°?,(A) 60°,(B) 45°,(C) 90°,(D) 15°,(A) 60°
Introduction to Trigonometry,Easy,"If tan(θ) = sin(θ)/cos(θ), then tan(45°) = ?",(A) 0,(B) 1,(C) Undefined,(D) √2,(B) 1
Introduction to Trigonometry,Easy,"If sin(A) = 3/5 in a right triangle, what is cos(A)?",(A) 4/5,(B) 3/5,(C) 5/4,(D) 5/3,(A) 4/5
Introduction to Trigonometry,Easy,What is the value of sin(30°)?,(A) 1,(B) 1/2,(C) √3/2,(D) 0,(B) 1/2
Introduction to Trigonometry,Easy,The value of cos(90°) is:,(A) 1,(B) √2/2,(C) 0,(D) √3/2,(C) 0
Introduction to Trigonometry,Easy,What is the reciprocal of sin(A)?,(A) cot(A),(B) cosec(A),(C) sec(A),(D) tan(A),(B) cosec(A)
Introduction to Trigonometry,Easy,The value of cos²(A) + sin²(A) is:,(A) 0,(B) 1,(C) 2,(D) None of these,(B) 1
Introduction to Trigonometry,Easy,"If tan(A)=1, what is the value of A?",(A) 30°,(B) 45°,(C) 60°,(D) 90°,(B) 45°
Introduction to Trigonometry,Easy,"If sin(A) = 0.5, find A in the first quadrant.",(A) 30°,(B) 45°,(C) 60°,(D) 90°,(A) 30°
Introduction to Trigonometry,Easy,Which of the following is NOT a trigonometric ratio?,(A) sin,(B) sec,(C) cosec,(D) sqrt,(D) sqrt
Introduction to Trigonometry,Easy,The value of cosec(90°) is:,(A) 1,(B) 2,(C) Undefined,(D) ∞,(A) 1
Introduction to Trigonometry,Easy,"If cos(A) = 0.866, what is the angle A?",(A) 30°,(B) 60°,(C) 45°,(D) 90°,(B) 60°
Introduction to Trigonometry,Easy,The value of sec(0°) is:,(A) Undefined,(B) ∞,(C) 1,(D) 0,(C) 1
Introduction to Trigonometry,Easy,Which of the following identities is correct?,(A) sin²(A) + cos²(A) = 0,(B) sec²(A) - tan²(A) = 1,(C) tan²(A) + 1 = sec²(A),(D) Both B and C,(D) Both B and C
Introduction to Trigonometry,Easy,What is the ratio cos(A) in terms of sides of a right triangle?,(A) Opposite/Hypotenuse,(B) Adjacent/Hypotenuse,(C) Opposite/Adjacent,(D) Adjacent/Opposite,(B) Adjacent/Hypotenuse
Introduction to Trigonometry,Easy,The value of cot(0°) is:,(A) Undefined,(B) 0,(C) ∞,(D) 1,(C) ∞
Introduction to Trigonometry,Easy,"If sin A = 3/5, what is the value of cos A?",(A) 4/5,(B) 3/4,(C) 5/4,(D) 1/5,(A) 4/5
Introduction to Trigonometry,Easy,Which of the following is the value of tan 45°?,(A) 0,(B) 1,(C) √3,(D) 2,(B) 1
Introduction to Trigonometry,Easy,The value of sin(45°) is:,(A) 1,(B) √2/2,(C) 0,(D) √3/2,(B) √2/2
Introduction to Trigonometry,Hard,What is the exact value of tan(45°) + cot(45°)?,(A) 1,(B) 2,(C) √2,(D) 0,(B) 2
Introduction to Trigonometry,Hard,"If tan(A) + cot(A) = 2, what is the value of sin²(A) + cos²(A)?",(A) 0,(B) 1,(C) 2,(D) Undefined,(B) 1
Introduction to Trigonometry,Hard,"If sin(2A) = √3/2, what are the possible values of A in the range 0° to 360°?","(A) 30°, 150°","(B) 60°, 120°","(C) 45°, 135°","(D) 90°, 270°","(B) 60°, 120°"
Introduction to Trigonometry,Hard,"If cos(θ) = 4/5 and θ lies in the fourth quadrant, find sin(",(A) -3/5,(B) 3/5,(C) -4/5,(D) 5/3,(A) -3/5
Introduction to Trigonometry,Hard,"If tan(A) = √3, then what is sec(A)?",(A) 2,(B) 1/2,(C) √2,(D) 1,(A) 2
Introduction to Trigonometry,Hard,Prove that (sin(A) - cos(A))² + 2sin(A)cos(A) = 1.,(A) Always True,(B) Always False,(C) True for specific values of A,(D) Cannot be determined,(A) Always True
Introduction to Trigonometry,Hard,Solve: sin²(30°) + sin²(60°).,(A) 1,(B) √3/2,(C) 3/4,(D) 5/4,(C) 3/4
Introduction to Trigonometry,Hard,"If tan(A) = 5/12, find the value of sec(A).",(A) 13/12,(B) 12/13,(C) 13/5,(D) 5/13,(A) 13/12
Introduction to Trigonometry,Hard,"If sin(A) + cos(A) = √2 cos(A), then what is tan(A)?",(A) 1,(B) √3,(C) 1/√3,(D) √2,(A) 1
Introduction to Trigonometry,Hard,"If sec(θ) + tan(θ) = 2, then find sin(θ).",(A) 1/2,(B) √3/2,(C) 1,(D) 0,(A) 1/2
Introduction to Trigonometry,Hard,Prove: 1−sin2(A)cos2(A)=1\frac{1 - sin²(A)}{cos²(A)} = 1cos2(A)1−sin2(A)​=1. Which property validates this?,(A) sec²(A) - tan²(A) = 1,(B) sin²(A) + cos²(A) = 1,(C) cot²(A) + 1 = cosec²(A),(D) tan²(A) + 1 = sec²(A),(B) sin²(A) + cos²(A) = 1
Introduction to Trigonometry,Hard,"If tan(A) = √3 and sin(A) > 0, then find cos(A).",(A) 1/2,(B) √3/2,(C) -1/2,(D) Undefined,(A) 1/2
Introduction to Trigonometry,Hard,"If cot(2A)=1√3cot(2A) = \frac{1}{√3}cot(2A)=√31​, find the value of A between 0° and 90°.",(A) 15°,(B) 30°,(C) 45°,(D) None of these,(A) 15°
Introduction to Trigonometry,Hard,Solve: sec(A)−tan(A)=12sec(A) - tan(A) = \frac{1}{2}sec(A)−tan(A)=21​. What is the value of cos(A)?,(A) √3/2,(B) 1/2,(C) 3/4,(D) 4/5,(D) 4/5
Introduction to Trigonometry,Hard,"If tan(A)+cot(A)=2tan(A) + cot(A) = 2tan(A)+cot(A)=2, then find tan²(A) + cot²(A).",(A) 3,(B) 4,(C) 5,(D) None of these,(C) 5
Introduction to Trigonometry,Hard,Simplify: 1+sin(A)cos(A)+cos(A)1+sin(A)\frac{1 + sin(A)}{cos(A)} + \frac{cos(A)}{1 + sin(A)}cos(A)1+sin(A)​+1+sin(A)cos(A)​.,(A) 2sec(A),(B) sec(A),(C) cosec(A),(D) None of these,(A) 2sec(A)
Introduction to Trigonometry,Hard,Prove: sec(A)+tan(A)=1sec(A)−tan(A)sec(A) + tan(A) = \frac{1}{sec(A) - tan(A)}sec(A)+tan(A)=sec(A)−tan(A)1​. What is the value of A for the identity to hold true?,(A) 30°,(B) 45°,(C) 60°,(D) All A between 0° and 90°,(D) All A between 0° and 90°
Introduction to Trigonometry,Hard,"If sin(A)=45sin(A) = \frac{4}{5}sin(A)=54​, and A lies in the second quadrant, find the value of sec(A).",(A) 5/3,(B) -5/4,(C) 5/4,(D) None of these,(C) 5/4
Introduction to Trigonometry,Hard,"If sin(A)+cos(A)=psin(A) + cos(A) = psin(A)+cos(A)=p and sin(A)cos(A)=qsin(A)cos(A) = qsin(A)cos(A)=q, what is sin2(A)+cos2(A)sin²(A) + cos²(A)sin2(A)+cos2(A)?",(A) 2pq,(B) p² - 2q,(C) p² + 2q,(D) Undefined,(B) p² - 2q
Introduction to Trigonometry,Hard,"If tan(2(A)=2tan(A)1−tan2(A)tan(2(A) = \frac{2tan(A)}{1 - tan²(A)}tan(2(A)=1−tan2(A)2tan(A)​, find the condition when the denominator becomes zero.",(A) tan(A)=1tan(A) = 1tan(A)=1,(B) tan(A)=−1tan(A) = -1tan(A)=−1,(C) tan(A)=0tan(A) = 0tan(A)=0,(D) Both A and B,(D) Both A and B
Introduction to Trigonometry,Hard,"If sec2(A)−1=tan2(A)sec²(A) - 1 = tan²(A)sec2(A)−1=tan2(A), what is the value of sec2(A)+1sec²(A) + 1sec2(A)+1?",(A) 1,(B) tan²(A) + 2,(C) cot²(A) + 2,(D) None of these,(B) tan²(A) + 2
Introduction to Trigonometry,Hard,"If sin(2(A)=2sin(A)cos(A)sin(2(A) = 2sin(A)cos(A)sin(2(A)=2sin(A)cos(A) and sin(A)=35sin(A) = \frac{3}{5}sin(A)=53​, find sin(2(A)sin(2(A)sin(2(A).",(A) 24/25,(B) 12/25,(C) 25/24,(D) Undefined,(A) 24/25
Introduction to Trigonometry,Hard,"If cot(A)=1√3cot(A) = \frac{1}{√3}cot(A)=√31​, find the value of sec(A)sec(A)sec(A).",(A) 2,(B) 2/√3,(C) 3/2,(D) None of these,(A) 2
Introduction to Trigonometry,Hard,Prove: sin(3(A)=3sin(A)−4sin3(A)sin(3(A) = 3sin(A) - 4sin³(A)sin(3(A)=3sin(A)−4sin3(A). For what value of A does the equation hold true?,(A) 30°,(B) 45°,(C) 60°,(D) All of the above,(D) All of the above
Introduction to Trigonometry,Hard,"If tan(A)=2tan(A) = 2tan(A)=2, and A lies in the first quadrant, find sin2(A)sin²(A)sin2(A).",(A) 4/5,(B) 16/25,(C) 9/25,(D) None of these,(B) 16/25
Introduction to Trigonometry,Hard,"If cos²(A) - sin²(A) = 1/2, what is A?",(A) 30°,(B) 45°,(C) 60°,(D) 90°,(C) 60°
Introduction to Trigonometry,Hard,Prove that tan(A) + cot(A) = sin(2(A) / (sin²(A) - cos²(A)). Find A for which this is undefined:,(A) 45°,(B) 90°,(C) 0°,(D) 30°,(B) 90°
Introduction to Trigonometry,Hard,"If sec(A) + tan(A) = 3, find sec(A):",(A) 2,(B) 3,(C) 5/2,(D) Undefined,(A) 2
Introduction to Trigonometry,Hard,"If 1 + cot²(A) = 25/16, find sin(A):",(A) 4/5,(B) 3/5,(C) 3/4,(D) 5/3,(C) 3/4
Introduction to Trigonometry,Hard,Solve sin⁴(A) - cos⁴(A):,(A) sin²(A) - cos²(A),(B) -cos(2(A),(C) -sin(2(A),(D) None of these,(B) -cos(2(A)
Introduction to Trigonometry,Hard,"If tan(A) = √3, and cos(A) is negative, find A:",(A) 120°,(B) 135°,(C) 150°,(D) 180°,(A) 120°
Introduction to Trigonometry,Hard,"If sin(3(A) = cos(A), find A:",(A) 22.5°,(B) 30°,(C) 45°,(D) 15°,(D) 15°
Introduction to Trigonometry,Hard,Solve: cot²(A) - cosec²(A) = -1. Find the condition on A:,(A) A = 90°,(B) A = 0°,(C) A = 45°,(D) A = 30°,(C) A = 45°
Introduction to Trigonometry,Hard,"If cos(2(A) = 1/2, find the general solution for A:",(A) nπ ± π/3,(B) nπ ± π/4,(C) nπ ± π/6,(D) nπ ± π/2,(C) nπ ± π/6
Introduction to Trigonometry,Hard,"If sin(A) + cos(A) = 1, find sin(2(A):",(A) 0,(B) 1,(C) -1,(D) Undefined,(A) 0
Introduction to Trigonometry,Hard,Prove: 1 - sin²(A) = cos²(A). What is the geometric interpretation?,(A) sin²(A) + cos²(A) = 1,(B) Pythagoras theorem,(C) Unit circle,(D) All of these,(D) All of these
Introduction to Trigonometry,Hard,"If tan(A) tan((B) = 1, find A + B:",(A) 90°,(B) 180°,(C) 0°,(D) None of these,(A) 90°
Introduction to Trigonometry,Hard,"If sec(A) = 13/5, find sin(A):",(A) 12/13,(B) 5/13,(C) 12/5,(D) None of these,(A) 12/13
Introduction to Trigonometry,Hard,Solve for A: sin(A) cos(A) = 1/2. Find A in degrees:,(A) 45°,(B) 60°,(C) 30°,(D) 90°,(A) 45°
Introduction to Trigonometry,Hard,"If tan(2(A) = √3, find A:",(A) 15°,(B) 30°,(C) 45°,(D) 60°,(B) 30°
Introduction to Trigonometry,Hard,Prove: tan²(A) = sec²(A) - 1. Find sec(A) if tan(A) = 4:,(A) √17,(B) 4/5,(C) 5/4,(D) Undefined,(A) √17
Introduction to Trigonometry,Hard,"If cosec²(A) - cot²(A) = 1, find cosec(A):",(A) 2,(B) 1,(C) √2,(D) Undefined,(A) 2
Introduction to Trigonometry,Medium,"If cos(θ) = 0.5, what is the value of θ in the first quadrant?",(A) 30°,(B) 60°,(C) 45°,(D) 90°,(B) 60°
Introduction to Trigonometry,Medium,Simplify: sin²(45°) + cos²(45°),(A) 0,(B) 1,(C) 2,(D) √2,(B) 1
Introduction to Trigonometry,Medium,"If sin(θ) = 3/5 and θ lies in the first quadrant, what is cos(θ)?",(A) 4/5,(B) 3/5,(C) √5/5,(D) 5/3,(A) 4/5
Introduction to Trigonometry,Medium,"If tan(θ) = 1, what is the value of θ between 0° and 360°?",(A) 45° and 225°,(B) 90° and 270°,(C) 135° and 315°,(D) 180° and 360°,(A) 45° and 225°
Introduction to Trigonometry,Medium,"If cos(θ) = √3/2, what is sin(θ) in the first quadrant?",(A) 1/2,(B) √3/2,(C) √2/2,(D) Undefined,(A) 1/2
Introduction to Trigonometry,Medium,Simplify: 1 + tan²(θ).,(A) sec²(θ),(B) sin²(θ),(C) cot²(θ),(D) cosec²(θ),(A) sec²(θ)
Introduction to Trigonometry,Medium,"If cot(θ) = 1, then θ lies in which quadrant?",(A) 1st and 3rd,(B) 2nd and 4th,(C) 1st and 2nd,(D) 3rd and 4th,(A) 1st and 3rd
Introduction to Trigonometry,Medium,"If sin(θ) = 3/5 and θ is in the first quadrant, what is tan(θ)?",(A) 4/5,(B) 3/4,(C) 5/4,(D) 5/3,(B) 3/4
Introduction to Trigonometry,Medium,"If cos(θ) = √3/2, what is sin(θ) in the first quadrant?",(A) 1/2,(B) √3/2,(C) √2/2,(D) Undefined,(A) 1/2
Introduction to Trigonometry,Medium,Simplify: sin²(θ) - cos²(θ).,(A) sin(2θ),(B) -cos(2θ),(C) tan²(θ),(D) Undefined,(B) -cos(2θ)
Introduction to Trigonometry,Medium,"If tan(45° + θ) = 1, what is the value of θ?",(A) 45°,(B) 0°,(C) -45°,(D) Undefined,(B) 0°
Introduction to Trigonometry,Medium,"If sin(2(A) = 2sin(A)cos(A), and sin(A) = 3/5, find sin(2A).",(A) 24/25,(B) 12/25,(C) 25/24,(D) Undefined,(A) 24/25
Introduction to Trigonometry,Medium,"If cot(A) = 7/24, find sin(A)",(A) 7/25,(B) 24/25,(C) 25/24,(D) 7/24,(A) 7/25
Introduction to Trigonometry,Medium,"If sec(θ) = 13/12, find the value of tan(θ).",(A) 5/12,(B) 12/5,(C) 5/13,(D) 13/5,(B) 12/5
Introduction to Trigonometry,Medium,"If sin(3x) = 0, what are the possible values of x between 0° and 360°?","(A) 0°, 60°, 120°","(B) 0°, 120°, 240°","(C) 0°, 180°, 360°",(D) None of these,"(C) 0°, 180°, 360°"
Introduction to Trigonometry,Medium,"If tan(30°) = 1/√3, what is the value of sin²(30°)?",(A) 1/4,(B) √3/4,(C) 1/2,(D) None of these,(A) 1/4
Introduction to Trigonometry,Medium,Simplify: (1 - sin²(θ))/(cos²(θ)).,(A) tan²(θ),(B) sec²(θ),(C) cot²(θ),(D) None of these,(B) sec²(θ)
Introduction to Trigonometry,Medium,"If sin(A) = 3/5, find cos²(A).",(A) 4/25,(B) 9/25,(C) 16/25,(D) 1,(C) 16/25
Introduction to Trigonometry,Medium,Solve for θ if tan²(θ) = sec²(θ) - 1.,(A) True for all θ,(B) θ = 45°,(C) θ = 90°,(D) None of these,(A) True for all θ
Introduction to Trigonometry,Medium,"If sin(A) = cos(A), find the value of A in the second quadrant.",(A) 45°,(B) 135°,(C) 90°,(D) None of these,(B) 135°
Introduction to Trigonometry,Medium,"If sin²(A) - cos²(A) = 0, then A lies in which quadrant?",(A) First,(B) Second,(C) Third,(D) Fourth,(A) First
Introduction to Trigonometry,Medium,"If tan(A) = sin(A)/cos(A), and sin(A) = 4/5, find tan(A).",(A) 4/3,(B) 3/4,(C) 5/4,(D) None of these,(A) 4/3
Introduction to Trigonometry,Medium,"If cos(A) = 1/2, what is the value of sin²(A)?",(A) 3/4,(B) 1/2,(C) 1/4,(D) None of these,(A) 3/4
Introduction to Trigonometry,Medium,"If tan²(A) - sin²(A) = sin²(A), what is tan²(A)?",(A) 2sin²(A),(B) sin(A)/tan(A),(C) 2tan²(A),(D) Undefined,(A) 2sin²(A)
Introduction to Trigonometry,Medium,Simplify 1 - 2sin²(A):,(A) cos(2A),(B) sin(2A),(C) cot²(A),(D) Undefined,(A) cos(2A)
Introduction to Trigonometry,Medium,"If sec(A) + tan(A) = p, what is sec(A) - tan(A)?",(A) 1/p,(B) p²,(C) Undefined,(D) None of these,(A) 1/p
Introduction to Trigonometry,Medium,"If sin(A) = cos((B), then A + B equals:",(A) 45°,(B) 90°,(C) 0°,(D) Undefined,(B) 90°
Introduction to Trigonometry,Medium,"If cot(A) = 3, find cosec²(A):",(A) 1,(B) 4,(C) 10,(D) 3,(C) 10
Introduction to Trigonometry,Medium,The value of sin²(45°) + cos²(45°) is:,(A) 1,(B) 0.5,(C) 2,(D) Undefined,(A) 1
Introduction to Trigonometry,Medium,Solve: 1 + tan²(A):,(A) 1/sec²(A),(B) sec²(A),(C) tan²(A),(D) Undefined,(B) sec²(A)
Introduction to Trigonometry,Medium,What is the value of 2cos²(30°) - 1?,(A) 1/2,(B) 1,(C) -1/2,(D) Undefined,(C) -1/2
Introduction to Trigonometry,Medium,Prove: sin²(A) - cos²(A) = -cos(2(A). What is the condition for this?,(A) A = 45°,(B) A = 90°,(C) Always true,(D) None of these,(C) Always true
Introduction to Trigonometry,Medium,"If cos(4A) = 1, find A:",(A) 45°,(B) 90°,(C) 0°,(D) 180°,(C) 0°
Introduction to Trigonometry,Medium,"If tan(A) = 1/√3, what is the value of A?",(A) 30°,(B) 45°,(C) 60°,(D) 90°,(A) 30°
Introduction to Trigonometry,Medium,What is the value of sec(45°)?,(A) √2,(B) 1/√2,(C) 1,(D) Undefined,(A) √2
Introduction to Trigonometry,Medium,"If sin(A) = 3/5, find cos(A):",(A) 4/5,(B) 3/4,(C) 5/3,(D) None of these,(A) 4/5
Introduction to Trigonometry,Medium,What is the value of sin(45°) * cos(45°)?,(A) 1/2,(B) √2,(C) √3/2,(D) 1,(A) 1/2
Introduction to Trigonometry,Medium,Simplify tan(A) * cot(A):,(A) 1,(B) sin²(A),(C) cos²(A),(D) Undefined,(A) 1
Introduction to Trigonometry,Medium,"If tan²(A) + 1 = sec²(A), and tan²(A) = 3, find sec²(A):",(A) 4,(B) 3,(C) 2,(D) None of these,(A) 4
Applications of Trigonometry,Easy,"A ladder is leaning against a wall making an angle of 60° with the ground. If the ladder is 10 meters long, find the height of the wall it reaches.",(A) 5 meters,(B) 8.66 meters,(C) 10 meters,(D) 6 meters,(B) 8.66 meters
Applications of Trigonometry,Easy,"If the angle of elevation of the top of a tower is 45° and the distance of the observer from the base of the tower is 10 meters, what is the height of the tower?",(A) 5√2 meters,(B) 10 meters,(C) 20 meters,(D) 15 meters,(B) 10 meters
Applications of Trigonometry,Easy,A pole casts a shadow of 5 meters when the angle of elevation of the sun is 60°. What is the height of the pole?,(A) 5 meters,(B) 10 meters,(C) 5√3 meters,(D) None of these,(C) 5√3 meters
Applications of Trigonometry,Easy,"From the top of a building, the angle of depression of a car is 30°. If the height of the building is 20 meters, find the distance of the car from the building.",(A) 10 meters,(B) 20√3 meters,(C) 30 meters,(D) 40 meters,(B) 20√3 meters
Applications of Trigonometry,Easy,"The angle of elevation of the top of a tree is 45°. If the tree is 15 meters high, find the distance of the observer from the base of the tree.",(A) 10 meters,(B) 15 meters,(C) 20 meters,(D) 25 meters,(B) 15 meters
Applications of Trigonometry,Easy,A kite is flying at a height of 50 meters. The string makes an angle of 30° with the ground. Find the length of the string.,(A) 50√3 meters,(B) 100 meters,(C) 100√3 meters,(D) 50 meters,(B) 100 meters
Applications of Trigonometry,Easy,"A man observes the top of a building at an angle of elevation of 60°. If the building is 30 meters high, find the distance between the man and the building.",(A) 15 meters,(B) 30√3 meters,(C) 20 meters,(D) None of these,(B) 30√3 meters
Applications of Trigonometry,Easy,"The angle of depression of a boat from the top of a lighthouse is 45°. If the height of the lighthouse is 50 meters, find the distance of the boat from the lighthouse.",(A) 50 meters,(B) 25 meters,(C) 100 meters,(D) 75 meters,(A) 50 meters
Applications of Trigonometry,Easy,A balloon is flying at a height of 60 meters. The angle of elevation from a point on the ground to the balloon is 30°. Find the horizontal distance between the point and the balloon.,(A) 60 meters,(B) 30 meters,(C) 60√3 meters,(D) 20√3 meters,(C) 60√3 meters
Applications of Trigonometry,Easy,The top of a tree is observed at an angle of elevation of 45° from a distance of 20 meters. What is the height of the tree?,(A) 20 meters,(B) 30 meters,(C) 15 meters,(D) 25 meters,(A) 20 meters
Applications of Trigonometry,Easy,"A ramp is inclined at 30° to the horizontal. If the vertical height of the ramp is 5 meters, find the length of the ramp.",(A) 10 meters,(B) 5√3 meters,(C) 15 meters,(D) None of these,(A) 10 meters
Applications of Trigonometry,Easy,"The angle of elevation of the top of a hill is 30°. If the hill is 50 meters high, find the horizontal distance from the observer to the hill.",(A) 100 meters,(B) 50√3 meters,(C) 25 meters,(D) None of these,(B) 50√3 meters
Applications of Trigonometry,Easy,A tree casts a shadow of 10 meters when the angle of elevation of the sun is 45°. What is the height of the tree?,(A) 10 meters,(B) 20 meters,(C) 15 meters,(D) None of these,(A) 10 meters
Applications of Trigonometry,Easy,"From the top of a tower, the angle of depression of a car on the ground is 30°. If the height of the tower is 30 meters, find the distance of the car from the tower.",(A) 30 meters,(B) 30√3 meters,(C) 15 meters,(D) None of these,(B) 30√3 meters
Applications of Trigonometry,Easy,A ladder of length 13 meters leans against a wall making an angle of 45° with the ground. Find the height of the wall.,(A) 10 meters,(B) 13 meters,(C) 13/√2 meters,(D) None of these,(C) 13/√2 meters
Applications of Trigonometry,Easy,The top of a flagpole is observed at an angle of elevation of 30° from a point 10 meters away. What is the height of the flagpole?,(A) 10 meters,(B) 5√3 meters,(C) 15 meters,(D) None of these,(B) 5√3 meters
Applications of Trigonometry,Easy,"If a person observes the top of a hill at an angle of 60° from a distance of 40 meters, what is the height of the hill?",(A) 40√3 meters,(B) 20 meters,(C) 60 meters,(D) None of these,(A) 40√3 meters
Applications of Trigonometry,Easy,The angle of elevation of the top of a tower from a point 20 meters away is 45°. What is the height of the tower?,(A) 20 meters,(B) 30 meters,(C) 15 meters,(D) None of these,(A) 20 meters
Applications of Trigonometry,Easy,"From a point on the ground, the angle of elevation of the top of a tree is 60°. If the distance between the tree and the point is 15 meters, what is the height of the tree?",(A) 15 meters,(B) 15√3 meters,(C) 20 meters,(D) None of these,(B) 15√3 meters
Applications of Trigonometry,Easy,"A kite is flying at a height of 40 meters, and the string makes an angle of 45° with the ground. Find the length of the string.",(A) 40 meters,(B) 40√2 meters,(C) 20 meters,(D) None of these,(B) 40√2 meters
Applications of Trigonometry,Easy,"The angle of elevation of the top of a tower from a point on the ground is 30°. If the tower is 20 meters high, find the distance of the point from the base of the tower.",(A) 20√3 meters,(B) 10 meters,(C) 40 meters,(D) 30 meters,(A) 20√3 meters
Applications of Trigonometry,Easy,"If a 10-meter pole casts a shadow of 10 meters, what is the angle of elevation of the sun?",(A) 30°,(B) 45°,(C) 60°,(D) 90°,(B) 45°
Applications of Trigonometry,Easy,"The height of a tree is 15 meters, and its shadow is 15√3 meters long. What is the angle of elevation of the sun?",(A) 30°,(B) 45°,(C) 60°,(D) 90°,(A) 30°
Applications of Trigonometry,Easy,"A ladder leaning against a wall makes an angle of 60° with the ground. If the ladder is 10 meters long, how high does it reach on the wall?",(A) 5 meters,(B) 10 meters,(C) 5√3 meters,(D) 10√3 meters,(C) 5√3 meters
Applications of Trigonometry,Easy,A person standing 40 meters away from a tower observes its top at an angle of elevation of 45°. Find the height of the tower.,(A) 40 meters,(B) 20 meters,(C) 60 meters,(D) 80 meters,(A) 40 meters
Applications of Trigonometry,Easy,"The angle of elevation from a boat to the top of a lighthouse is 30°. If the height of the lighthouse is 50 meters, how far is the boat from the base of the lighthouse?",(A) 50 meters,(B) 50√3 meters,(C) 100 meters,(D) 25 meters,(B) 50√3 meters
Applications of Trigonometry,Easy,A flagpole 8 meters tall casts a shadow of 8√3 meters. What is the angle of elevation of the sun?,(A) 30°,(B) 45°,(C) 60°,(D) 90°,(A) 30°
Applications of Trigonometry,Easy,"A person standing on the ground looks at the top of a tree at an angle of elevation of 60°. If the tree is 12 meters tall, how far is the person from the base of the tree?",(A) 4√3 meters,(B) 6 meters,(C) 12√3 meters,(D) 24 meters,(A) 4√3 meters
Applications of Trigonometry,Easy,"If the height of a building is 20 meters and the angle of elevation to its top is 45°, find the horizontal distance from the observer to the base of the building.",(A) 10 meters,(B) 20 meters,(C) 40 meters,(D) 30 meters,(B) 20 meters
Applications of Trigonometry,Easy,A man observes the top of a tower at an angle of 30° while standing 30 meters away from it. Find the height of the tower.,(A) 30 meters,(B) 30√3 meters,(C) 15 meters,(D) 10 meters,(C) 15 meters
